constructorStandingsId,raceId,constructorId,points,position,positionText,wins
23252,550,6,50,1,1,2
23270,551,59,32,3,3,2
23268,551,6,50,1,1,2
23286,552,59,32,4,4,2
23284,552,6,56,1,1,2
23304,553,59,38,3,3,2
23322,554,59,38,3,3,2
23340,555,59,42,3,3,2
23358,556,59,42,3,3,2
23381,557,1,47,3,3,2
23378,557,59,46,4,4,2
23401,558,1,51,4,4,2
22863,561,6,18,1,1,2
22977,567,1,31,3,3,2
22996,568,1,31,3,3,2
22506,579,1,20.5,2,2,2
22523,580,1,26.5,1,1,2
22540,581,1,26.5,2,2,2
22537,581,6,26,3,3,2
22708,582,1,26.5,3,3,2
22725,583,1,26.5,3,3,2
22743,584,1,30.5,3,3,2
22797,587,34,51,2,2,2
22817,588,34,54,2,2,2
22837,589,34,54,2,2,2
22229,591,1,18,1,1,2
22240,592,1,22,1,1,2
22252,593,1,26,1,1,2
22313,597,6,39,2,2,2
22332,598,32,22,4,4,2
22329,598,6,45,1,1,2
22348,599,32,26,4,4,2
22345,599,6,48,2,2,2
22343,599,25,39,3,3,2
22366,600,32,29,4,4,2
22361,600,25,45,3,3,2
22384,601,32,29,4,4,2
22379,601,25,45,3,3,2
22378,601,34,24,5,5,2
22397,602,25,49,3,3,2
22396,602,34,26,5,5,2
22415,603,25,51,3,3,2
22414,603,34,26,5,5,2
22435,604,25,52,3,3,2
21881,606,32,18,1,1,2
22046,607,32,22,1,1,2
22065,609,25,36,1,1,2
22144,614,1,38,3,3,2
22156,615,1,42,3,3,2
22168,616,1,42,3,3,2
22180,617,1,46,3,3,2
21958,625,25,27,2,2,2
21950,625,32,34,1,1,2
21968,626,25,33,2,2,2
21979,627,25,33,2,2,2
21990,628,25,33,3,3,2
22002,629,25,33,3,3,2
21697,634,25,24,1,1,2
21703,635,25,24,2,2,2
21702,635,6,28,1,1,2
21713,636,6,28,2,2,2
21730,637,6,28,2,2,2
21741,638,6,32,2,2,2
21746,639,6,32,2,2,2
21766,640,66,30,3,3,2
21757,640,6,32,2,2,2
21778,641,66,30,3,3,2
21769,641,6,32,2,2,2
21788,642,66,36,2,2,2
21787,642,6,33,3,3,2
13919,17,1,71,3,3,2
21308,657,196,18,1,1,2
21314,658,196,18,1,1,2
21376,665,180,47,2,2,2
20935,668,180,18,1,1,2
21020,674,196,29,2,2,2
21039,675,196,35,2,2,2
21054,676,196,36,3,3,2
20789,683,191,27,1,1,2
20804,684,191,33,1,1,2
20848,686,180,22,2,2,2
20867,687,180,26,2,2,2
20700,696,6,31,2,2,2
20715,697,6,31,2,2,2
20468,706,66,42,2,2,2
20091,711,172,22,1,1,2
19819,721,172,19,1,1,2
19908,727,66,36,2,2,2
19577,735,172,27,2,2,2
19547,733,172,24,1,1,2
19559,734,172,27,2,2,2
19558,734,66,31,1,1,2
19128,755,32,34,2,2,2
19058,749,170,22,1,1,2
17833,774,87,31,3,3,2
17834,774,6,40,2,2,2
17824,773,87,29,3,3,2
17825,773,6,40,2,2,2
18870,760,170,26,1,1,2
17816,772,6,37,1,1,2
17815,772,87,29,3,3,2
17811,771,118,25,2,2,2
17806,771,87,23,3,3,2
17807,771,6,36,1,1,2
18883,761,6,24,2,2,2
17802,770,118,22,2,2,2
18882,761,170,29,1,1,2
17793,769,118,16,3,3,2
19361,743,172,26,2,2,2
17779,768,87,19,1,1,2
17762,766,87,16,1,1,2
17770,767,87,19,1,1,2
17788,769,87,19,2,2,2
17797,770,87,19,3,3,2
17842,775,87,31,3,3,2
17843,775,6,40,2,2,2
19336,740,6,24,1,1,2
22132,613,1,35,3,3,2
21940,624,32,28,1,1,2
21625,652,6,34,4,4,2
21574,647,32,23,2,2,2
21369,665,182,45,3,3,2
21359,664,182,39,2,2,2
21386,666,180,47,3,3,2
21379,666,182,49,2,2,2
21048,675,187,31,4,4,2
20833,685,180,19,3,3,2
20813,684,180,19,2,2,2
20730,698,6,31,2,2,2
20651,693,191,21,1,1,2
20383,701,172,18,2,2,2
20167,718,183,30,4,4,2
20163,718,66,42,2,2,2
20150,717,66,42,2,2,2
20125,715,6,28,3,3,2
20099,712,172,25,1,1,2
19927,728,66,36,2,2,2
19890,726,66,35,2,2,2
19372,744,172,26,2,2,2
18919,764,6,32,2,2,2
18907,763,6,32,2,2,2
18895,762,6,28,2,2,2
22778,586,34,51,2,2,2
24030,515,6,33,1,1,2
24269,340,1,109,1,1,2
24281,341,1,119,1,1,2
24282,341,9,113,3,3,2
24305,342,1,129,3,3,2
24364,347,6,208,3,3,2
24376,348,6,238,3,3,2
24388,349,6,250,3,3,2
24540,842,9,72,1,1,2
24552,843,9,105,1,1,2
24601,847,1,186,2,2,2
24613,848,1,206,2,2,2
24625,849,1,218,2,2,2
24849,865,9,146,1,1,2
24860,866,1,133,2,2,2
24861,866,9,164,1,1,2
24872,867,1,137,2,2,2
24873,867,9,176,1,1,2
24874,867,6,122,4,4,2
24884,868,1,142,4,4,2
24886,868,6,152,2,2,2
24967,869,1,160,3,3,2
25170,883,9,109,1,1,2
25180,884,6,117,2,2,2
25181,884,9,131,1,1,2
25191,885,6,123,2,2,2
25192,885,9,164,1,1,2
25202,886,6,145,2,2,2
25213,887,6,168,3,3,2
25215,887,131,171,2,2,2
25224,888,6,180,3,3,2
25226,888,131,183,2,2,2
25235,890,6,194,3,3,2
25246,891,6,218,3,3,2
25279,893,6,274,2,2,2
25268,892,6,248,2,2,2
25290,894,6,284,2,2,2
25301,895,6,297,2,2,2
25312,896,6,309,3,3,2
25323,897,6,323,3,3,2
25334,898,6,333,3,3,2
25345,899,6,354,3,3,2
25942,901,131,68,1,1,2
26051,910,9,219,2,2,2
26159,928,131,119,1,1,2
26230,936,6,236,2,2,2
26251,937,6,242,2,2,2
26261,938,6,270,2,2,2
26447,949,131,83,1,1,2
26625,963,9,359,2,2,2
26636,964,9,385,2,2,2
26691,965,9,400,2,2,2
26702,966,9,427,2,2,2
26713,967,9,446,2,2,2
26724,968,9,468,2,2,2
26753,971,6,102,1,1,2
26763,972,6,135,2,2,2
26764,972,131,136,1,1,2
26773,973,6,153,2,2,2
26875,983,9,270,3,3,2
26885,984,9,303,3,3,2
26895,985,9,315,3,3,2
26973,990,6,65,1,1,2
26963,991,6,84,2,2,2
26983,992,6,114,1,1,2
26993,993,6,126,2,2,2
26994,993,131,153,1,1,2
27003,994,6,156,2,2,2
27004,994,131,178,1,1,2
27005,994,9,107,3,3,2
27014,995,131,206,1,1,2
27015,995,9,134,3,3,2
27025,996,9,164,3,3,2
27213,1011,131,87,1,1,2
27334,1020,9,217,3,3,2
27344,1021,9,244,3,3,2
27354,1022,9,254,3,3,2
27364,1023,9,266,3,3,2
27365,1023,6,351,2,2,2
27374,1024,9,289,3,3,2
27384,1025,9,311,3,3,2
27414,1026,9,323,3,3,2
27424,1027,9,341,3,3,2
27434,1028,9,366,3,3,2
27483,1032,131,80,1,1,2
27661,1047,9,319,2,2,2
27713,1054,131,101,1,1,2
27734,1056,9,149,1,1,2
1,18,1,14,1,1,1
7,19,1,24,1,1,1
12,19,6,11,3,3,1
18,20,1,28,3,3,1
29,21,1,34,3,3,1
40,22,1,42,3,3,1
63,24,2,70,2,2,1
74,25,2,74,2,2,1
85,26,2,82,2,2,1
96,27,2,89,2,2,1
107,28,2,90,3,3,1
118,29,2,96,3,3,1
129,30,2,107,3,3,1
140,31,2,117,3,3,1
143,31,5,27,6,6,1
151,32,2,120,3,3,1
153,32,4,51,4,4,1
154,32,5,31,6,6,1
162,33,2,128,3,3,1
165,33,5,34,6,6,1
1637,34,5,34,6,6,1
1634,34,2,135,3,3,1
184,35,2,135,3,3,1
187,35,5,39,6,6,1
25756,38,1,44,11,NA,1
25767,39,1,58,11,NA,1
6317,53,4,10,1,1,1
6351,56,6,30,3,3,1
6452,65,11,52,4,4,1
6463,66,11,58,4,4,1
6474,67,11,65,4,4,1
6486,68,11,73,4,4,1
6498,69,11,78,4,4,1
6510,70,11,86,4,4,1
567,71,4,16,1,1,1
24512,75,1,37,3,3,1
1664,79,6,63,3,3,1
652,80,6,69,3,3,1
662,81,6,74,3,3,1
672,82,6,78,3,3,1
682,83,6,86,3,3,1
692,84,6,86,3,3,1
702,85,6,86,3,3,1
712,86,6,90,3,3,1
722,87,6,98,3,3,1
732,88,6,100,3,3,1
742,89,6,100,3,3,1
6138,90,6,18,1,1,1
6188,95,4,52,2,2,1
6198,96,4,61,2,2,1
6208,97,4,61,2,2,1
6218,98,4,66,2,2,1
6228,99,4,79,2,2,1
6238,100,4,79,2,2,1
6248,101,4,85,2,2,1
6258,102,4,91,2,2,1
6271,103,1,49,5,5,1
6268,103,4,91,2,2,1
6281,104,1,52,5,5,1
6278,104,4,91,3,3,1
6291,105,1,58,5,5,1
6288,105,4,96,3,3,1
6301,106,1,61,5,5,1
6298,106,4,100,3,3,1
6311,107,1,69,5,5,1
6309,107,3,88,4,4,1
6308,107,4,105,3,3,1
5982,108,1,16,1,1,1
6005,110,17,10,5,5,1
6015,111,17,10,5,5,1
6010,111,6,32,2,2,1
6025,112,17,11,5,5,1
6035,113,17,11,5,5,1
6045,114,17,11,5,5,1
6039,114,3,50,3,3,1
6055,115,17,11,5,5,1
6049,115,3,64,3,3,1
6065,116,17,11,6,6,1
6075,117,17,11,7,7,1
6085,118,17,11,7,7,1
6095,119,17,11,8,8,1
6105,120,17,11,8,8,1
6101,120,4,78,4,4,1
6115,121,17,11,8,8,1
6111,121,4,79,4,4,1
6125,122,17,13,9,9,1
6121,122,4,84,4,4,1
6135,123,17,13,9,9,1
6131,123,4,88,4,4,1
5800,124,6,10,1,1,1
5807,125,3,22,1,1,1
5806,125,6,14,2,2,1
5818,126,3,30,1,1,1
5829,127,3,37,2,2,1
5840,128,3,43,2,2,1
5851,129,3,50,2,2,1
5863,130,1,24,3,3,1
5862,130,3,54,2,2,1
5874,131,1,33,3,3,1
5873,131,3,54,2,2,1
5885,132,1,37,3,3,1
5884,132,3,57,2,2,1
5896,133,1,37,3,3,1
5895,133,3,61,2,2,1
5907,134,1,47,3,3,1
5906,134,3,66,2,2,1
5918,135,1,49,3,3,1
5917,135,3,76,2,2,1
5929,136,1,54,3,3,1
5928,136,3,80,2,2,1
5940,137,1,57,3,3,1
5939,137,3,86,2,2,1
5951,138,1,57,3,3,1
5950,138,3,86,2,2,1
5962,139,1,61,3,3,1
5961,139,3,89,2,2,1
5973,140,1,65,3,3,1
5972,140,3,92,2,2,1
5614,141,6,14,1,1,1
5636,143,1,21,2,2,1
5656,144,3,12,3,3,1
5647,144,1,30,2,2,1
5667,145,3,18,3,3,1
5658,145,1,32,2,2,1
5678,146,3,18,3,3,1
5689,147,3,18,3,3,1
1454,158,6,16,1,1,1
1487,161,1,26,2,2,1
5445,175,6,10,1,1,1
5457,176,1,10,2,2,1
5466,177,1,16,2,2,1
5451,176,6,18,1,1,1
5477,178,1,20,2,2,1
5505,181,17,26,3,3,1
5516,182,17,31,3,3,1
5527,183,17,34,3,3,1
5538,184,17,38,3,3,1
5549,185,17,42,3,3,1
5560,186,17,47,3,3,1
5585,188,24,31,5,5,1
5596,189,24,36,4,4,1
5607,190,24,36,4,4,1
2055,191,1,16,1,1,1
2072,193,6,21,2,2,1
2082,194,6,31,2,2,1
2093,195,6,35,2,2,1
2104,196,6,39,2,2,1
2184,203,17,26,5,5,1
2195,204,17,31,5,5,1
2206,205,17,31,5,5,1
2217,206,17,34,4,4,1
5250,207,1,14,1,1,1
5263,208,3,10,2,2,1
5258,208,1,17,1,1,1
5268,209,1,19,2,2,1
5279,210,1,20,3,3,1
5291,211,6,38,1,1,1
5290,211,1,20,3,3,1
25356,212,6,41,1,1,1
25355,212,1,21,3,3,1
25367,213,1,21,4,4,1
25379,214,1,21,4,4,1
25391,215,1,24,4,4,1
25405,216,22,46,3,3,1
25403,216,1,28,4,4,1
25417,217,22,46,3,3,1
25415,217,1,28,4,4,1
25429,218,22,47,3,3,1
25427,218,1,28,4,4,1
25441,219,22,53,3,3,1
25453,220,22,53,3,3,1
25465,221,22,62,3,3,1
25477,222,22,64,3,3,1
25489,223,22,67,3,3,1
2418,224,3,16,1,1,1
2475,229,27,11,5,5,1
2482,230,6,35,2,2,1
2486,230,27,12,5,5,1
2493,231,6,35,2,2,1
2497,231,27,12,5,5,1
2504,232,6,35,2,2,1
2508,232,27,12,5,5,1
2515,233,6,35,3,3,1
2519,233,27,12,6,6,1
2526,234,6,38,3,3,1
2530,234,27,12,6,6,1
2537,235,6,38,3,3,1
2541,235,27,14,6,6,1
2552,236,27,14,6,6,1
2563,237,27,15,6,6,1
2574,238,27,15,6,6,1
2585,239,27,15,6,6,1
5037,240,22,10,1,1,1
5046,241,3,16,2,2,1
5045,241,22,17,1,1,1
5055,242,22,17,3,3,1
5096,245,6,41,2,2,1
5109,246,6,43,3,3,1
5122,247,6,49,3,3,1
5135,248,6,53,3,3,1
5148,249,6,57,3,3,1
5161,250,6,57,3,3,1
5174,251,6,57,3,3,1
5187,252,6,62,3,3,1
5200,253,6,68,3,3,1
5213,254,6,73,3,3,1
5226,255,6,73,3,3,1
5239,256,6,73,3,3,1
25513,257,22,10,1,1,1
25570,261,3,17,3,3,1
